frame,time_s,left_h_m,left_h_raw_m,left_conf,right_h_m,right_h_raw_m,right_conf
236,3.9333,2.0011,2.0011,0.982,2.0017,2.0019,0.949
237,3.95,2.0011,2.0011,0.982,2.0019,2.0019,0.948
238,3.9667,2.0011,2.0012,0.981,2.0021,2.0023,0.952
239,3.9833,2.0012,2.0012,0.981,2.0023,2.0023,0.952
240,4.0,2.0012,2.0013,0.979,2.0025,2.0028,0.956
241,4.0167,2.0012,2.0013,0.979,2.0026,2.0028,0.956
242,4.0333,2.0012,2.0013,0.978,2.0027,2.0029,0.957
243,4.05,2.0011,2.0013,0.978,2.0028,2.0029,0.957
244,4.0667,2.0011,2.001,0.979,2.0029,2.0029,0.957
245,4.0833,2.0011,2.001,0.979,2.0029,2.0029,0.957
246,4.1,2.0011,2.0009,0.978,2.0031,2.0029,0.957
247,4.1167,2.0011,2.0009,0.978,2.0032,2.0029,0.958
248,4.1333,2.0011,2.0009,0.977,2.0034,2.0031,0.961
249,4.15,2.0011,2.0009,0.977,2.0035,2.0031,0.961
250,4.1667,2.0011,2.0013,0.973,2.0037,2.0039,0.963
251,4.1833,2.0012,2.0013,0.973,2.0039,2.0039,0.963
252,4.2,2.0012,2.0014,0.971,2.0041,2.0046,0.958
253,4.2167,2.0012,2.0014,0.971,2.0043,2.0046,0.958
254,4.2333,2.0012,2.0012,0.972,2.0045,2.0046,0.955
255,4.25,2.0012,2.0012,0.972,2.0047,2.0046,0.954
256,4.2667,2.0012,2.0012,0.972,2.0048,2.0047,0.951
257,4.2833,2.0012,2.0011,0.972,2.0049,2.0047,0.951
258,4.3,2.0013,2.0013,0.97,2.005,2.0052,0.943
259,4.3167,2.0013,2.0013,0.97,2.0052,2.0052,0.943
260,4.3333,2.0014,2.0013,0.971,2.0053,2.0052,0.943
261,4.35,2.0014,2.0013,0.971,2.0054,2.0052,0.943
262,4.3667,2.0015,2.0015,0.968,2.0055,2.0058,0.94
263,4.3833,2.0015,2.0015,0.968,2.0056,2.0058,0.94
264,4.4,2.0015,2.0018,0.965,2.0056,2.0059,0.943
265,4.4167,2.0015,2.0018,0.965,2.0055,2.0059,0.943
266,4.4333,2.0014,2.0013,0.968,2.0055,2.0055,0.945
267,4.45,2.0014,2.0013,0.968,2.0053,2.0054,0.945
268,4.4667,2.0014,2.0013,0.969,2.0052,2.0051,0.948
269,4.4833,2.0014,2.0013,0.969,2.005,2.0052,0.948
270,4.5,2.0014,2.0012,0.97,2.0049,2.0046,0.955
271,4.5167,2.0015,2.0012,0.97,2.0047,2.0046,0.955
272,4.5333,2.0016,2.0016,0.969,2.0045,2.0045,0.958
273,4.55,2.0016,2.0016,0.969,2.0044,2.0045,0.958
274,4.5667,2.0016,2.002,0.969,2.0042,2.0044,0.963
275,4.5833,2.0016,2.002,0.969,2.004,2.0044,0.963
276,4.6,2.0017,2.0018,0.97,2.0038,2.0037,0.969
277,4.6167,2.0017,2.0018,0.97,2.0037,2.0037,0.969
278,4.6333,2.0017,2.0014,0.978,2.0035,2.0031,0.967
279,4.65,2.0016,2.0013,0.978,2.0033,2.0031,0.967
280,4.6667,2.0015,2.0015,0.977,2.0031,2.0031,0.968
281,4.6833,2.0015,2.0015,0.977,2.003,2.0031,0.968
282,4.7,2.0014,2.0015,0.979,2.0028,2.0029,0.963
283,4.7167,2.0014,2.0015,0.979,2.0028,2.0029,0.963
284,4.7333,2.0014,2.0013,0.98,2.0026,2.0025,0.955
